"id","country","publication_date","source","source_type","headline"
1746,"Sweden","2015-02-26","Svenska Dagbladet","Print","Agera nu - rädda assyrierna"
1747,"Sweden","2003-12-08","Svenska Dagbladet","Print","Arne Broberg"
1748,"UK","2001-11-17","Daily Mirror","Print","ASYLUM CHEATS CON US OUT OF POUNDS 115M A YEAR;
 80PC ON FIDDLE"
1749,"Spain","2008-11-30","ABC","Print","Un intelectual argelino pide al Rey que recupere la memoria histórica de
Al-Andalus Propone llevar la causa sobre Andalucía al diálogo internacional"
1750,"Hungary","2017-06-22","Magyar Idök","Print","Falusi turizmus"
1751,"Romania","2015-06-26","Romania Libera","Print","Klaus Iohannis, despre migraţie : Toate statele UE vor primi imigranţi . Fiecare ţară va decide numărul lor, pe bază de voluntariat"
1752,"Sweden","2016-12-16","Svenska Dagbladet","Print","LO:s utspel ett rop på hjälp"
1753,"Sweden","2002-04-03","Dagens Nyheter","Print","Israeliska stridsvagnar in i flyktingläger"
1754,"Germany","2007-07-27","Die Welt","Print","Liste Pim Fortuyn löst sich selbst auf;
Niederländische Protestpartei am Ende - Doch ihre Ideen leben weiter"
1755,"Poland","2010-04-02","Rzeczpospolita","Print","Zmniejsza się strumień pieniędzy od emigrantów"
1756,"Romania","2016-02-03","Romania Libera","Print","DIICOT: Nu există o amenințare teroristă reală în România, dar trebuie urmărit valul de migrație"
1757,"Romania","2016-02-29","Ziarul Financiar","Print","Peste 600 de imigranţi au fost deportaţi din Belgia în Franţa în ultima săptămână"
1758,"Hungary","2017-01-28","Magyar Idök","Print","Hangszórókon informálnák az illegális bevándorlókat"
1759,"Hungary","2015-05-15","Nepszava","Print","Szó sem lehet az uniós kvóta bevezetéséről"
1760,"Romania","2014-02-20","Jurnalul National","Print","Traian Băsescu, despre situaţia din Ucraina: România, pregătită să preia imigranţi"
1761,"Hungary","2017-03-01","Magyar Hirlap","Print","Liberálisok és baloldaliak támadták Magyarországot az EP-ben"
1762,"Sweden","2016-06-02","Dagens Nyheter","Print","Medierna måste bli öppnare"
1763,"Spain","2009-01-13","El Pais","Print","46.426 'sin papeles' de 29 países, repatriados en 2008"
1764,"Sweden","2016-06-14","Svenska Dagbladet","Print","Alla vill inte vara politiska"
1765,"Spain","2017-01-15","El Mundo","Print","Nuevo drama en el Estrecho: Nos estamos hundiendo, vemos España"
1766,"Sweden","2012-09-10","Aftonbladet","Print","Tuffa krav slår alltid på de sämst ställda"
1767,"Germany","2017-07-19","Frankfurter Rundschau","Print","Zwischen Wohlstand und Armut"
1768,"Poland","2017-04-16","Gazeta Wyborcza","Print","Dwa niemieckie statki lada chwila mogą zatonąć na Morzu Śródziemnym. Na
pokładach mają setki uchodźców"
1769,"UK","2017-09-07","The Guardian","Print","Second Innings: cricket for Afghan refugees in London;
The latest Guardian documentary takes us to a very special cricket club for
young Afghan refugee boys in London"
1770,"Spain","2016-03-21","El Pais","Print","Grecia necesita 4.000 expertos para garantizar los retornos"
1771,"Germany","2016-01-02","taz","Print","Salafist im Kindergarten;
Unterwandern radikale Islamisten die muslimischen Kindergärten?"
1772,"Poland","2013-01-21","Gazeta Wyborcza","Print","Tragiczny koniec porwania w Algierii"
1773,"Romania","2014-01-10","Romania Libera","Print","Daily Mail: Imigrantul român ajuns celebru a dispărut fără urmă"
1774,"Sweden","2004-02-17","Expressen","Print","Dränkta av lagen."
1775,"Germany","2016-10-02","Welt Online","Online","Sachsen;
Angriffe auf muslimische Einrichtungen nehmen zu"
1776,"Poland","2016-02-09","Rzeczpospolita","Print","Niemcy liczą na Turcję"
1777,"Germany","2016-07-05","Frankfurter Rundschau","Print","Aufrütteln mit harten Parolen"
1778,"Sweden","2004-11-26","Expressen","Print","Äntligen - nu får de sitt klassfoto! Rektorn stoppade skolfotot med"
1779,"UK","2013-10-03","The Guardian","Print","Qatar: Migrant's story: Lured by a job, but driven to despair by accident and
two years of legal battles"
1780,"UK","2016-06-03","telegraph.co.uk","Online","Michelle Obama tells Donald Trump in rare political speech: 'In America we don't
build walls'"
1781,"Poland","2013-07-16","Gazeta Wyborcza","Print","Czarnoskóra minister jak orangutan? Autor obelg we włoskim senacie odmawia
dymisji"
1782,"Romania","2015-09-07","Evenimentul Zilei","Print","Bogdan Aurescu, chemat marţi la şedinţa coaliţiei pentru a discuta problema imigranţilor"
1783,"Spain","2002-10-22","El Pais","Print","CRUZ ROJA DEJARA DE ATENDER A INMIGRANTES EN CANARIAS SI EL GOBIERNO NO LE PAGA
INTERIOR AFIRMA QUE PROMETIO LA SEMANA PASADA A LA ONG QUE SOLUCIONARA LA
SITUACION"
1784,"Spain","2016-10-25","El Pais","Print","Necesitamos mantas ahora, no en primavera"
1785,"Sweden","2004-10-16","Dagens Nyheter","Print","Tjetjensk familj får stanna i Sverige . Utlänningsnämnden ändrar sig efter"
1786,"Spain","2002-06-23","El Pais","Print","UNOS 100 ANTIGLOBALIZACION SE ENCIERRAN EN UNA IGLESIA EN APOYO DE LOS
INMIGRANTES LA PROTESTA COINCIDIO CON LA CELEBRACION DE UNA BODA EN EL SALVADOR"
1787,"Romania","2013-12-26","Ziarul Financiar","Print","Edward Snowden a cerut încetarea monitorizării masive a comunicaţiilor, într-un mesaj de Crăciun"
1788,"Poland","2011-03-01","Rzeczpospolita","Print","Rząd szykuje się na desant z Afryki"
1789,"Sweden","2006-03-05","Svenska Dagbladet","Print","Fakta Jamaica blev"
1790,"Sweden","2013-12-01","Aftonbladet","Print","Nu får de bo tillsammans"
1791,"Germany","2004-09-24","Frankfurter Rundschau","Print","Migration   ;
Für Pflicht zu Integration in Kitas und Schulheimen"
1792,"UK","2016-01-18","telegraph.co.uk","Online","David Cameron backs bans on Muslim face veils as Tories plan crackdown on gender
segregation;
Prime Minister says it is 'proper and sensible' for Muslim women to remove face
veils when asked to by public officials"
1793,"Spain","2014-02-18","El Pais","Print","Interior pedirá apoyo a la UE para mitigar la llegada de inmigrantes"
1794,"Hungary","2016-02-17","Magyar Hirlap","Print","Donald Tusk nem zárná ki a görögöket"
1795,"Germany","2013-10-25","ZEIT Online","Online","Der reitende Bote in Lampedusa;
Wie der aufgeklärte Fürst von Anhalt-Dessau die Flüchtlinge in sein Land holte.
Eine unhaltbare Fantasie aus aktuellem Anlass"
1796,"Hungary","2016-05-26","Magyar Hirlap","Print","Bakondi György: A migráció intenzitása nem csökkent"
1797,"Romania","2015-09-03","Evenimentul Zilei","Print","Bogdan Aurescu: Împărţirea de cote de migranţi nu e singura soluţie la problema refugiaţilor , e important să tratăm sursa acesteia"
1798,"Romania","2009-06-19","Ziarul Financiar","Print","Fostul director al Companiei de Cai Ferate, arestat in SUA"
1799,"Hungary","2017-09-17","Magyar Hirlap","Print","Dél-Spanyolországban megnövekedett a migráció"
1800,"Spain","2006-01-31","El Pais","Print","Solidaridad con los 'sin techo' del Turia"
1801,"Sweden","2015-10-26","Svenska Dagbladet","Print","Svårt bevisa brott mot asylboenden"
1802,"Spain","2008-09-18","ABC","Print","Peralta pide ahora solidaridad con la inmigración ilegal"
1803,"Germany","2006-08-09","taz","Print","Ärger mit den Auflagen;
Das Amtsgericht Hildesheim verurteilt Kai Weber vom Niedersächsischen
Flüchtlingsrat zu einer Geldstrafe. Er hätte die Teilnehmer einer Demonstration
davon abhalten müssen, die Stufen der Jakobikirche in der Innenstadt zu betreten"
1804,"Poland","2015-05-29","Rzeczpospolita","Print","Misja wysokiego ryzyka"
1805,"Sweden","2006-01-13","Dagens Nyheter","Print","Mamma vägras visum till sin mördade sons begravning"
1806,"Romania","2015-04-22","Ziarul Financiar","Print","Numărul imigranţilor din Spania, inclusiv al românilor, a scăzut în 2014, al treilea an la rând"
1807,"Romania","2016-02-29","Ziarul Financiar","Print","Până la 70.000 de migranţi ar putea rămâne blocaţi în Grecia, avertizează Atena"
1808,"UK","2015-06-11","The Daily Telegraph","Print","Syrian refugees flee from renewed fight against Isil;
Border chaos"
1809,"Hungary","2016-03-24","Magyar Idök","Print","Korlátozásokat hozhat a terror az alapvető szabadságjogok terén"
1810,"Romania","2016-09-28","Ziarul Financiar","Print","Patru ţări central-europene nu au primit niciun refugiat în cadrul sistemului cotelor obligatorii"
1811,"Poland","2014-05-08","Rzeczpospolita","Print","USA przykładem dla Europy"
1812,"Germany","2014-12-09","Frankfurter Rundschau","Print","Patienten zweiter Klasse"
1813,"Hungary","2015-09-07","Nepszava","Print","Az „Ígéret földje nem Magyarország"
1814,"UK","2016-02-04","The Guardian","Print","Criminals with UK children cannot be automatically deported, says EU court;
Theresa May told she cannot expel Moroccan woman with British-born son simply
because of conviction"
1815,"Germany","2014-12-03","taz","Print","Kiel erlässt Abschiebestopp"
1816,"Sweden","2015-11-21","Aftonbladet","Print","Källa: S kan försätta landet i kristillstånd"
1817,"Sweden","2005-11-28","Dagens Nyheter","Print","Ingen rubrik"
1818,"Poland","2007-12-20","Gazeta Wyborcza","Print","Jesteśmy w Schengen: Europa od Bugu po Atlantyk"
1819,"UK","2016-10-07","mirror.co.uk","Online","Shameless Tory Amber Rudd slammed by her own BROTHER for 'appalling' attack on
foreign workers;
PR chief Roland Rudd slammed the Government following his sister's plan to force
firms to publish lists of all foreign staff"
1820,"UK","2016-09-20","mirror.co.uk","Online","Theresa May set to defend Brexit as she addresses world leaders in New York
today;
Mrs May will also tell leaders new threats such as global terrorism, mass
migration and modern slavery need an international response"
1821,"Romania","2015-09-08","Ziarul Financiar","Print","Autorităţile ungare anunţă că au înregistrat 169.337 de imigranţi ilegali"
1822,"Sweden","2015-07-10","Dagens Industri","Print","131"
1823,"Spain","2008-04-15","El Pais","Print","La derecha barre en el Norte"
1824,"Poland","2013-01-18","Gazeta Wyborcza","Print","Polska nie chce Kurda"
1825,"Hungary","2017-12-07","Magyar Hirlap","Print","Szobrok, sorsok"
1826,"Spain","2013-12-06","El Pais","Print","Vidas perras"
1827,"Poland","2005-12-16","Rzeczpospolita","Print","Ograniczenia dla gastarbeiterów"
1828,"Hungary","2016-09-02","Nepszabadsag","Print","Clinton lapít és várja, hogy Trump újabb hibát vétsen"
1829,"Sweden","2006-07-11","Svenska Dagbladet","Print","Avvisad hällde bensin över sig"
1830,"Sweden","2002-04-20","Svenska Dagbladet","Print","Ryska rasisters framfart skrämmer utlänningar"
1831,"Romania","2016-10-10","Ziarul Financiar","Print","FIFA a fost dată în judecată de un muncitor de la şantierul pentru Cupa Mondială din Qatar 2022"
1832,"UK","2014-11-28","Daily Mirror","Print","WARSAW PACKED;
SCANDAL OF CHEAP FOREIGN STAFF Hundreds of Polish workers bussed in to Next site
in an area of high unemployment EXCLUSIVE"
1833,"Spain","2009-08-22","ABC","Print","Detenidos once inmigrantes tras la llegada de otras dos pateras a Alicante El
Gobierno retrasa de septiembre a «finales de año» la puesta en marcha de los
radares"
1834,"Romania","2017-05-16","Romania Libera","Print","GALERIE FOTO. Migranți irakieni, opriţi la frontiera cu Bulgaria. Voiau să ajungă în Germania"
1835,"Romania","2013-12-04","Ziarul Financiar","Print","Premierul Marii Britanii sugerează că planurile de a împiedica migraţia românilor şi bulgarilor ar putea să nu funcţioneze"
1836,"Germany","2003-04-07","taz","Print","was bisher geschah;
Eine politische Familie auf der Flucht"
1837,"Hungary","2015-06-06","Nepszava","Print","Történet a kiszolgáltatottságról"
1838,"Sweden","2001-04-30","Dagens Nyheter","Print","Fängelse bättre miljö än flyktingförvar"
1839,"Hungary","2016-12-02","Magyar Hirlap","Print","ENSZ: Közel 27 ezren menekültek el az aleppói harcok elől"
1840,"Poland","2014-10-30","Gazeta Wyborcza","Print","A uchodźcy wciąż toną na Morzu Śródziemnym"
1841,"Poland","2007-10-28","Gazeta Wyborcza","Print","Cudzoziemcy chcą uczyć się polskiego"
1842,"Germany","2005-03-07","taz","Print","Gewalt im Namen der Ehre gibt es nicht;
1.000 Menschen demonstrierten am Samstag gegen Gewalt an Frauen. Anlass war der
Mord an der 23-jährigen Hatun Sürücü. Die meisten Teilnehmer waren weiblich und
weiß. Der MigrantInnenanteil war gering, Männer fehlten"
1843,"Hungary","2016-09-21","Magyar Hirlap","Print","„A bevándorlási hullám felelőtlen kezelése a legnagyobb veszélyt a nőkre jelenti"
1844,"Poland","2007-10-23","Gazeta Wyborcza","Print","Zmarł Jan Krok-Paszkowski"
1845,"Sweden","2003-02-19","Svenska Dagbladet","Print","Lena Lindgren"
1846,"Germany","2015-12-22","Frankfurter Rundschau","Print","Schwedische Bahn stoppt Zugverkehr aus Dänemark"
1847,"UK","2015-04-24","telegraph.co.uk","Online","'Smuggler captain' accused over worst Mediterranean sinking appears in court;
27-year-old Tunisian suspected of sinking smuggler boat on which 800 drowned is
in court in Sicilty, where judge is due to decide whether to confirm his arrest"
1848,"Hungary","2015-03-14","Nepszabadsag","Print","Égből a Merkel"
1849,"Sweden","2014-08-27","Dagens Nyheter","Print","Redovisa intäkter från äldre"
1850,"UK","2015-11-17","The Guardian","Print","Students skip classes to show support for refugees;
Nationwide demonstration over government's treatment of refugees includes mass
walkout, talks and demonstration outside Daily Mail headquarters"
1851,"Hungary","2017-06-12","Magyar Idök","Print","Ismét nagyobb csoportokban érkeznek a határsértők"
1852,"Spain","2013-12-17","ABC","Print","Los «tories» plantean limitar el número de inmigrantes en la UE;
Fuertes críticas a la posibilidad de reducir las llegadas a 75.000 comunitarios
al año"
1853,"Spain","2009-07-05","ABC","Print","El limbo de los refugiados"
1854,"UK","2016-10-18","The Guardian","Print","UK-French blame game over Calais camp must end, says Cazeneuve;
Interior minister says there have been misunderstandings on each side but both
must take responsibility for crisis"
1855,"Romania","2017-08-17","Evenimentul Zilei","Print","Călăuzele migranților irakieni, băgate după gratii de procurorii din Constanța"
1856,"Poland","2007-05-09","Rzeczpospolita","Print","CDU broni wysiedlonych"
1857,"Germany","2008-10-13","Die Welt","Print","Umstrittener CDU-Ortschef tritt von allen Ämtern zurück"
1858,"UK","2017-04-20","telegraph.co.uk","Online","Use £12bn foreign aid budget to pay down the deficit, says former Tory policy
chief"
1859,"Spain","2003-07-24","El Pais","Print","Los inmigrantes podran seguir todo el verano en los cuarteles de Sant Andreu"
1860,"UK","2016-05-28","The Daily Telegraph","Print","Gentler touch as EU rivals seek rural vote;
Europe 2016 ; David Cameron vows to drop personal attacks for last 30 days of EU
referendum campaign"
1861,"Germany","2016-09-15","taz","Print","Mit erweitertem Blick;
Wahl In Berlin ist es längst Alltag: KandidatInnen mit Migrationshintergrund
bewerben sich um Mandate auf Landes- und Bezirksebene. Aber welche Rolle spielt
ihre Herkunft?"
1862,"Poland","2014-10-23","Gazeta Wyborcza","Print","ONZ: liczba uchodźców na Ukrainie przekroczyła 430 tysięcy. Większość to
uciekinierzy z Donbasu"
1863,"Hungary","2017-08-15","Magyar Hirlap","Print","Merkel még nem gondol a koalícióra"
1864,"UK","2016-03-09","The Guardian","Print","Canada doubles refugee target to 57,000 by the end of this year;
Minister says Canada will step up efforts take in refugees from around the
world, in addition to the 26,000 from Syria it has welcomed over the past three
months"
1865,"Spain","2015-02-28","El Pais","Print","Los favoritos"
1866,"Poland","2017-08-16","Rzeczpospolita","Print","Import pracowników z Unii"
1867,"Spain","2004-09-27","El Pais","Print","Los ciudadanos apoyan las reformas sociales de Zapatero"
1868,"Poland","2004-10-26","Gazeta Wyborcza","Print","Kto po Hancocku? Zagar? Lindbaek?"
1869,"Spain","2004-06-09","El Mundo","Print","El PP pide las comparecencias de Alonso y Caldera."
1870,"Hungary","2016-10-03","Nepszabadsag","Print","Hatalmas árat fizettünk Orbán sötét lelkű műsoráért"
1871,"UK","2014-12-16","Metro","Print","Miliband pledges to tackle those exploiting migrants"
1872,"Romania","2015-09-18","Romania Libera","Print","Blaga: România trebuie să fie pregătită pentru CREŞTEREA numărului de refugiaţi alocaţi"
1873,"Spain","2017-06-19","El Pais","Print","Empieza la negociación en Bruselas"
1874,"Sweden","2004-11-11","Svenska Dagbladet","Print","Dumhetens ombud feltolkar Jantelagen"
1875,"Romania","2008-05-13","Ziarul Financiar","Print","Tariceanu i-a cerut lui David sa plece urgent la Roma pentru a clarifica problema imigrantilor romani"
1876,"Hungary","2017-01-25","Magyar Hirlap","Print","A végét járhatja az osztrák kormány"
1877,"Hungary","2015-10-08","Nepszava","Print","Parlamenti vitanap lesz a menekültekről"
1878,"Sweden","2016-07-09","Aftonbladet","Print","Sluta att twittra dumheter"
1879,"Poland","2015-05-12","Rzeczpospolita","Print","Pracownik z zagranicy mile widziany"
1880,"Sweden","2013-07-02","Dagens Nyheter","Print","Papperslösa jagas efter skatteläcka"
1881,"UK","2008-07-01","Daily Mirror","Print","35,000-STRONG COP FORCE TO GUARD OUR BORDERS;
EXCLUSIVE CALL TO STRENGTHEN ANTI-TERROR LAWS"
1882,"Sweden","2016-09-20","Dagens Nyheter","Print","Bristen på pengar ett stort problem för FN"
1883,"Hungary","2017-02-09","Magyar Idök","Print","Brüsszel magyar terveket vár migránsügyben"
1884,"Poland","2009-04-09","Gazeta Wyborcza","Print","Wydłużony wymóg rejestracji dla imigrantów z nowych państw UE"
1885,"Poland","2010-05-24","Rzeczpospolita","Print","Strzały na Dworcu Stadion"
1886,"Romania","2016-01-25","Evenimentul Zilei","Print","SECURITATEA CIBERNETICĂ și terorismul, pe agenda Consiliului JAI. Proiect împotriva MIGRAȚIEI : înființarea Poliției Europeane de Frontieră. Petre Tobă, la întâlnirea miniștrilor de justiție și afaceri interne"
1887,"Spain","2006-08-25","El Pais","Print","Voto inmigrante"
1888,"Sweden","2014-02-09","Svenska Dagbladet","Print","Schweiz lär oss att inte ta öppenheten för given"
1889,"UK","2017-06-26","The Guardian","Print","Theresa May's attacks on human rights laws are gifts for despots - UN;
Zeid Ra'ad al-Hussein criticises British culture of denigrating 'bodies of
international law that are now endangered'"
1890,"Romania","2017-03-07","Ziarul Financiar","Print","Parlamentul ungar a aprobat plasarea imigranţilor în zone de tranzit de-a lungul frontierelor"
1891,"Sweden","2015-08-08","Expressen","Print","ORIMLIGA KRAV PÅ ASSANGE-FÖRHÖR"
1892,"UK","2001-08-31","The Guardian","Print","44 caught in Channel tunnel"
1893,"Romania","2015-10-03","Ziarul Financiar","Print","Angela Merkel cere protejarea frontierelor UE, pe fondul criticilor privind încurajarea imigranţilor"
1894,"Hungary","2017-04-11","Magyar Hirlap","Print","„Drótkerítések közé zárt gyerekek"
1895,"Romania","2016-03-01","Ziarul Financiar","Print","Circa 10.000 de imigranţi , blocaţi în Grecia la frontiera cu Turcia"
1896,"Hungary","2016-12-01","Magyar Hirlap","Print","Kövér: Migráció néven háború zajlik a világban"
1897,"Sweden","2016-11-26","Expressen","Print","Miljardär vill hjälpa flyktingar"
1898,"Sweden","2008-10-10","Aftonbladet","Print","Torterade av väktare"
1899,"Sweden","2015-12-15","Expressen","Print","EXPRESSEN RÄTTAR"
1900,"Hungary","2017-02-20","Nepszava","Print","Európát győzködte Pence"
1901,"Hungary","2016-07-23","Magyar Hirlap","Print","„A magyar hadtörténet egyik legnagyobb diadala a nándorfehérvári győzelem"
1902,"Hungary","2017-09-18","Magyar Idök","Print","Orbán Viktor: Nem leszünk bevándorlóország"
1903,"Romania","2015-09-15","Romania Libera","Print","Reacția MAE: Maniera de a acționa a părții ungare este INADMISIBILĂ"
1904,"Sweden","2003-03-05","Dagens Nyheter","Print","Kristianstadstyret en plump. Sjöbopartiet hjälpte s till makten"
1905,"Spain","2004-07-05","El Pais","Print","150 'sin papeles' deciden terminar la huelga de hambre en Barcelona"
1906,"Hungary","2016-11-04","Nepszava","Print","Közelednének Merkelhez"
1907,"Germany","2005-12-17","Frankfurter Rundschau","Print","Formfehler   ;
Ausländerbeirat muss Wahl wiederholen"
1908,"Sweden","2007-09-17","Aftonbladet","Print","Taxibolag granskas för diskriminering"
1909,"Sweden","2014-01-10","Svenska Dagbladet","Print","Migration är mer än invandring"
1910,"Germany","2015-10-17","Frankfurter Rundschau","Print","Die Stadt reinigen"
1911,"Hungary","2016-04-19","Magyar Hirlap","Print","Kozmetikázott a brit kormány"
1912,"Poland","2015-09-07","Rzeczpospolita","Print","Angela Merkel zdecydowana jak nigdy dotąd"
1913,"Germany","2014-05-03","taz","Print","Existenzgründung als Karrierechance;
SELBSTSTÄNDIGKEIT Der Anteil von Existenzgründern ist bei MigrantInnen
mittlerweile genauso hoch wie bei Nicht-MigrantInnen - allerdings sind die
Hürden und die Beweggründe für den Schritt in die Selbstständigkeit
unterschiedlich"
1914,"Sweden","2009-03-25","Dagens Nyheter","Print","Sju unga dömda för 20 rasistiska mord"
1915,"UK","2011-07-27","The Daily Telegraph","Print","Camp still closed to Somali refugees;
World Bulletin"
1916,"Romania","2008-05-22","Ziarul Financiar","Print","Berlusconi a adoptat noi masuri impotriva infractorilor imigranti"
1917,"Poland","2016-05-27","Rzeczpospolita","Print","Trudno zostać uchodźcą"
1918,"Poland","2017-12-15","Rzeczpospolita","Print","Kłopoty przesądzone"
1919,"Spain","2016-04-04","El Pais","Print","Las necesidades logísticas"
1920,"Germany","2004-09-29","Frankfurter Rundschau","Print","aus dem süden"
1921,"Germany","2003-11-25","Frankfurter Rundschau","Print","KARBEN"
1922,"Germany","2015-10-14","Frankfurter Rundschau","Print","Sorge ums liberale Deutschland"
1923,"UK","2015-08-27","telegraph.co.uk","Online","Drop immigration 'tens of thousands' pledge, influential think-tank tells
ministers;
Bright Blue, the liberal conservative think-tanks, calls for a target to cut
non-EU immigration instead"
1924,"Hungary","2008-01-08","Nepszabadsag","Print","Illemkódex és átnevelő tábor - Törvényt és rendet követelő kampánnyal vadászik voksokra Hessenben a CDU tartományi kormányfője, Roland Koch"
1925,"UK","2016-09-13","The Guardian","Print","Three suspected Isis operatives arrested at German refugee shelters;
Men held on suspicion of planning to carry out terrorist attacks after three
sites raided in Lower Saxony and Schleswig-Holstein"
1926,"Romania","2007-11-29","Ziarul Financiar","Print","Fundatia Soros: Industria textila este cea mai afectata de lipsa de personal"
1927,"Romania","2010-10-19","Ziarul Financiar","Print","Nemtii au probleme cu imigrantii care nu se adapteaza"
1928,"Germany","2016-01-23","taz","Print","Meister der Schraffur;
WESTERN-COMICS Die  Manos Kelly -Serie des Spaniers Antonio Palacios,  Buffalo
Runner  des Franzosen Tiburce Oger"
1929,"UK","2017-01-30","The Guardian","Print","Anti-Trump petition to stop UK state visit passes 1m signatures;
As online campaign gathers support, Downing Street confirms PM will not be
withdrawing invitation to US president"
1930,"Sweden","2001-04-12","Dagens Nyheter","Print","DN DEBATT: S-ordförande vill se över flyktingbehandlingen: Nu är det"
1931,"Hungary","2016-04-13","Nepszava","Print","A gyűlölet természetrajza"
1932,"Romania","2016-06-29","Ziarul Financiar","Print","Liderii UE se întâlnesc miercuri la Bruxelles, pentru prima dată fără reprezentantul britanic"
1933,"UK","2013-12-20","The Daily Telegraph","Print","Tories like 'little Englanders' on immigration"
1934,"UK","2000-12-01","The Daily Telegraph","Print","Prodi warns of EU deadlock"
1935,"Sweden","2012-07-03","Svenska Dagbladet","Print","Svenskamerikaner är dåliga överlevare"
1936,"Hungary","2016-05-28","Magyar Hirlap","Print","G7: A nemzetközi rendet fenyegeti a menekültáradat"
1937,"UK","2016-07-09","The Guardian","Print","France's and Portugal's colonial heritage brings African flavour to Euro 2016;
Sunday night's final at the Stade de France will feature two nations with
several players whose families have made their homes in the modern Europe"
1938,"Germany","2007-08-28","Die Welt","Print","Regierung lehnt neues NPD-Verbotsverfahren ab;
Keine Mehrheit für weiteren Anlauf - Rechtsextremer Hintergrund der Taten gegen
Ausländer ungeklärt"
1939,"Hungary","2015-08-12","Magyar Idök","Print","Hamis migránsromantika"
1940,"UK","2012-08-30","telegraph.co.uk","Online","Student visas - the Government continues to do the right thing over immigration"
1941,"Germany","2010-11-24","Frankfurter Rundschau","Print","DER LANGE WEG ZUM SCHULABSCHLUSS UND ZU SELBSTBEWUSSTSEIN;"
1942,"Germany","2016-08-10","Welt Online","Online","Urteil;
Mord in Flüchtlingsheim - Lebenslang für Somalier"
1943,"Spain","2012-11-25","ABC","Print","Hallan 44 inmigrantes en dos pateras y buscan a otros diez"
1944,"Spain","2016-08-07","ABC","Print","LESBOS Confinados en tierra de nadie;
Muchos españoles y Caritas Grecia ayudan a los más de 4.000 refugiados en la
isla"
1945,"Hungary","2017-10-10","Nepszava","Print","Rózsafüzérrel mennek neki Soros Györgynek"
1946,"Spain","2016-03-17","ABC","Print","El único manuscrito de Shakespeare, publicado en la Red;
Se trata de una escena en la que Tomás Moro habla a favor de los refugiados"
1947,"Poland","2006-12-07","Rzeczpospolita","Print","Muzułmanie atakują Żydów"
1948,"Sweden","2017-02-13","Svenska Dagbladet","Print","Mexiko varnar migranter i USA"
1949,"UK","2001-03-20","Daily Mirror","Print","REFUGEES' LORRY TERROR"
1950,"Spain","2016-10-19","El Pais","Print","Obama da un espaldarazo a las políticas de Renzi"
1951,"UK","2016-06-17","The Guardian","Print","Manus refugee allegedly assaulted by guards while having breakdown needs help,
friends say;
Thirty-year-old Iranian refugee was forcibly removed from the detention centre
after being found naked, yelling and distressed"
1952,"Romania","2016-09-15","Ziarul Financiar","Print","Manifestaţii violente împotriva imigranţilor în Grecia"
1953,"Poland","2007-01-21","Gazeta Wyborcza","Print","Madryt: Uliczne bitwy Hiszpanów z imigrantami"
1954,"UK","2000-06-01","Daily Mirror","Print","REFUGEES' RACE PLIGHT"
1955,"Romania","2016-06-24","Ziarul Financiar","Print","Român stabilit în Anglia: Cred că englezii au greşit prin acest vot. Vor exista multe repercusiuni"
1956,"Spain","2006-07-04","El Mundo","Print","EL DRAMA DE LA INMIGRACION.
21 subsaharianos se ahogan al naufragar su patera en las costas saharauis.
El numero de victimas puede ser mayor, ya que los siete supervivientes relataron
que en la embarcacion iban 37 personas en total ."
1957,"Poland","2006-04-11","Gazeta Wyborcza","Print","Biały zryw imigrantów"
1958,"Romania","2015-09-09","Evenimentul Zilei","Print","UDMR susține cote voluntare de refugiați"
1959,"Romania","2014-10-14","Romania Libera","Print","Migrant sirian, ascuns într-un tir cu lalele"
1960,"Romania","2016-04-25","Ziarul Financiar","Print","Austria a introdus noi controale la frontiera cu Ungaria pentru a preveni alte rute pentru imigranţi"
1961,"Hungary","2017-11-02","Magyar Hirlap","Print","Szijjártó: Biztonsági kérdés az illegális migráció"
1962,"Romania","2004-03-03","Ziarul Financiar","Print","Temerile privind o imigraţie masivă după extindere se reduc"
1963,"Spain","2007-08-08","El Pais","Print","La llegada de inmigrantes por mar cae un 55% tras el refuerzo de controles
fronterizo s"
1964,"Spain","2003-04-08","El Pais","Print","INTERCEPTADA UNA PATERA CON 26 SUBSAHARIANOS EN FUERTEVENTURA"
1965,"Romania","2017-10-20","Evenimentul Zilei","Print","Reacția lui Iohannis la asaltul refugiaților pe Marea Neagră: „Nu suntem îngrijorați"
1966,"Spain","2003-10-07","El Mundo","Print","El Defensor del Pueblo reclama soluciones para el CETI de Ceuta.
En una carta remitida al Instituto de Migraciones pide medidas para que se de
asistencia a los 180 'sin papeles' que duermen fuera del centro."
1967,"Hungary","2016-03-01","Magyar Idök","Print","Moscovici menekültekkel javítaná az EU gazdaságát"
1968,"Spain","2015-08-27","El Pais","Print","Merkel, abucheada por ultras como traidora en un acto con refugiados"
1969,"Poland","2009-08-13","Rzeczpospolita","Print","Państwowa Inspekcja Pracy bada, czy zatrudnienie w przedsiębioststwach jest legalne"
1970,"Sweden","2016-04-07","Aftonbladet","Print","M: Bryter vår överenskommelse"
1971,"Poland","2017-06-16","Rzeczpospolita","Print","Powrót sarmatyzmu"
1972,"Hungary","2015-09-17","Magyar Hirlap","Print","„A Nyugatnak be kell fejeznie a terrorizmus finanszírozását"
1973,"Spain","2007-09-18","El Pais","Print","Detenidos dos rumanos por explotar a inmigrantes en el campo manchego"
