"id","country","publication_date","source","source_type","headline"
775,"Germany","2015-10-16","ZEIT Online","Online","Das Nie-Wieder-Versprechen;
Seit Flüchtlingsheime brennen, ist die Angst vor rechtsextremem Terror aktueller
denn je. Auch deshalb startet der Bundestag einen zweiten
NSU-Untersuchungsausschuss."
776,"Spain","2002-08-29","El Pais","Print","TENSION EN MENDAVIA CON LOS INMIGRANTES, TRAS SER ACUCHILLADOS CUATRO VECINOS"
777,"UK","2015-06-25","telegraph.co.uk","Online","Middle aged Britain: average age hits 40 as population surges to record;
Soaring immigration and impact of ageing population drive UK population to 64.6
million"
778,"Spain","2004-05-20","El Pais","Print","Clamoroso"
779,"UK","2008-06-16","The Guardian","Print","Comment & Debate: 42 days? Try 18 months: This European targeting of illegal
immigrants is hypocritical, draconian and undiplomatic"
780,"Spain","2012-09-21","El Pais","Print","Dos de cada tres hispanos apoyan la reelección del presidente"
781,"Germany","2016-04-24","Welt Online","Online","Schlupfloch nach Europa;
250 Flüchtlinge stürmen spanische Exklave Ceuta"
782,"Germany","2017-02-23","Welt Online","Online","Neues Personaldokument;
Die raffinierten Sicherheitsmerkmale im neuen Reisepass"
783,"Spain","2009-07-02","El Pais","Print","Encarcelados tres ocupantes de la patera de Barbate por montar el viaje"
784,"Spain","2004-02-17","El Mundo","Print","Dos agentes marroquies patrullaran desde manana con la Guardia Civil en
Fuerteventura.
Forma parte de los acuerdos entre Madrid y Rabat para luchar contra la
inmigracion ilegal - Se retrasa la legalizacion de los carnes de conducir de los
marroquies residentes en Espana."
785,"Germany","2005-02-09","taz","Print","Es hilft nicht, mit dem Finger auf Migranteneltern zu zeigen ;
Zuwanderer geben ihren Kindern nicht genug Bildungsehrgeiz mit, weiß
Migrationsforscher Bruce Cohen. Gerade deshalb ist es wichtig, dass der Staat
deren Kids wirksam fördert"
786,"Spain","2009-11-06","ABC","Print","Salvamento Marítimo localizó la patera de Alicante 48 horas antes de ser
rescatada Un helicóptero la avistó el martes, pese a lo cual el Gobierno no
había previsto ayer una búsqueda activa"
787,"UK","2004-02-11","The Guardian","Print","Top judge condemns asylum proposals: Drop plan to bar courts from review
process, urges Lord Woolf"
788,"UK","2015-03-06","The Guardian","Print","Orange lifeboats used to return asylum seekers to be replaced by 'fishing
boats';
Exclusive: Lifeboats have been used to send asylum seekers back to source
countries but a 'multi-million dollar' deal has been signed for new boats built
in Vietnam"
789,"UK","2013-07-23","The Guardian","Print","Reply: Letter: Double standards on immigration"
790,"Germany","2013-05-13","Welt Online","Online","Einwanderungspolitik;
Laschet will mehr Zuzug qualifizierter Fachkräfte"
791,"Germany","2008-06-30","Die Welt","Print","Wo in Kreuzberg die Toleranz aufhört;
Im Berliner Multikulti-Bezirk wächst der Widerstand der Eltern gegen staatliche
Getto-Schulen mit hohem Ausländeranteil"
792,"Spain","2015-09-26","ABC","Print","Abdalá de Jordania informa al Rey sobre los refugiados sirios;
Ban Ki-moon y Don Felipe abordan la Agenda del Desarrollo Sostenible"
793,"Germany","2006-01-27","Frankfurter Rundschau","Print","Behörden werden mutmaßlichen Hassprediger nicht los   ;
Wenn der Vorbeter einer islamischen Gemeinde im Riederwald alle juristischen
Mittel nutzt, kann er wohl noch Jahre hier bleiben"
794,"UK","2005-02-28","Daily Mirror","Print","ASYLUM ANGUISH"
795,"UK","2014-03-10","telegraph.co.uk","Online","Syrian forces 'committing war crimes by starving Palestinian camp';
Amnesty International has accused goverment forces of starving the population
and targeting doctors in Damascus' Yarmouk refugee camp"
796,"UK","2013-01-31","The Daily Telegraph","Print","Polish is the second language of England;
After decade of unprecedented immigration, the eastern European tongue has
pushed aside Urdu or Bengali and changed the sound of Britain"
797,"Spain","2008-11-13","El Pais","Print","Recorrer España de la fresa a la uva"
798,"Germany","2009-01-02","Die Welt","Print","Ausland;
Vereinigte Staaten: Obama zieht am Wochenende mit Familie nach Washington ++
Marokko: Ein Toter bei Massenansturm auf spanische Exklave ++ Vatikan:
Kirchenstaat übernimmt italienische Gesetze nicht mehr"
799,"UK","2013-01-28","The Daily Telegraph","Print","Romanians told: life is tough in Britain"
800,"UK","2013-07-29","Daily Mirror","Print","Ad nausea;
VOICE OF THE voice@mirror.co.uk"
801,"UK","2001-04-13","Daily Mirror","Print","REUNITED;
 EXCLUSIVE: BABY JOY FOR COUPLE AS REFUGEE IS LET BACK INTO IRELAND TO SEE BIRTH"
802,"UK","2015-10-05","The Guardian","Print","Natacha Bouchart is wrong: Britain is no El Dorado for asylum seekers;
The mayor of Calais is misguided to suggest that migrants are 'prepared to die'
for benefits. The UK has welcomed far fewer than some of its EU partners"
803,"Germany","2014-09-26","Frankfurter Rundschau","Print","Stadt klagt Geld ein"
804,"Germany","2012-08-31","taz","Print","Respektlos gegen Einwanderer;
SOZIALLEISTUNGEN Eine Studie der Diakonie Hamburg bemängelt eklatante Missstände
in den Jobcentern"
805,"Germany","2010-07-03","taz","Print","Der nette Bundespräsident von nebenan;
VEREIDIGUNG In seiner Antrittsrede spricht sich Christian Wulff gegen den
Raubtierkapitalismus aus"
806,"Germany","2016-12-01","Welt Online","Online","Diskussion um Obergrenze;
Die Wähler vergessen die Flüchtlingskrise nicht"
807,"Germany","2006-08-09","taz","Print","Ärger mit den Auflagen;
Das Amtsgericht Hildesheim verurteilt Kai Weber vom Niedersächsischen
Flüchtlingsrat zu einer Geldstrafe. Er hätte die Teilnehmer einer Demonstration
davon abhalten müssen, die Stufen der Jakobikirche in der Innenstadt zu betreten"
808,"Spain","2003-06-02","El Pais","Print","Padres de un centro de Denia alertan de la creacion de un gueto escolar"
809,"Spain","2008-01-11","ABC","Print","Ya son 207 los inmigrantes interceptados"
810,"Germany","2015-10-10","taz","Print","Das Gefühl, an unseren Grenzen zu sein, wird instrumentalisiert ;
In Bremen haben wir am vergangen"
811,"Spain","2005-04-10","El Mundo","Print","El Defensor del Pueblo propone un reparto forzoso de los estudiantes
extranjeros.
En su informe anual, reclama que la LOE preste una atencion preferente al alumno
inmigrante - Plantea limitar la libre eleccion de centro para que sean
escolarizados en colegios concertados."
812,"Spain","2016-04-06","El Pais","Print","Colau critica en Bruselas la inacción de Rajoy ante la crisis"
813,"Spain","2015-08-27","El Pais","Print","Trump ofrece horror, la utopía de un país blanco"
814,"Germany","2006-12-13","Frankfurter Rundschau","Print","Eltern können sich jetzt jeden Morgen in der Hellerhofschule treffen   ;
Café bietet Möglichkeit zum Gespräch auch mit den Lehrern / Zwei Sponsoren
ermöglichten die Raumgestaltung"
815,"Spain","2007-12-15","ABC","Print","El PP denuncia que un centener de inmigrantes malvive en cuevas y cortijos"
816,"Germany","2004-08-11","Spiegel Online","Online","Schilys Asyllager werden Europa-Thema"
817,"Spain","2005-10-01","El Pais","Print","Cada vez menos, cada vez mas dificil"
818,"UK","2012-11-23","telegraph.co.uk","Online","Fleeing children who face death and squalor in wartorn Congo;
The barefoot refugee children who sleep on piercing volcanic rock are proof that
war in the Democratic Republic of Congo engulfs the innocent not once, but over
and over."
819,"Germany","2012-10-16","Welt Online","Online","Untersuchung;
Hamburg ist für Familien nur Mittelmaß"
820,"UK","2017-04-02","mirror.co.uk","Online","Scum is the right word for mob who left 17-year-old refugee fighting for life;
Our country is a welcoming land of people prepared to show the hand of
friendship to those fleeing persecution"
821,"Germany","2016-02-11","Spiegel Online","Online","Koalition legt Streit über Elternnachzug für minderjährige Flüchtlinge bei;"
822,"Germany","2015-08-13","Welt Online","Online","Flüchtlingskrise;
Claus Kleber im ZDF- Heute Journal den Tränen nahe"
823,"Germany","2006-02-02","Die Welt","Print","Neuer Tiefstand: Zahl der Abschiebungen geht weiter zurück;
2005 wurden 130 Afghanen in ihre Heimat gebracht - Innenbehörde bleibt damit
deutlich hinter Zielen der CDU zurück"
824,"UK","2016-02-01","mirror.co.uk","Online","Leaflets telling migrants how to behave handed out at German swimming pools
after women 'sexually assaulted';
The guides have subtitles in English and Arabic and contain rules such as no
pushing, no diving and no touching women's behinds"
825,"Germany","2003-11-12","taz","Print","Experten für den Frieden;
Flüchtlinge aus Sri Lanka wollen von Bremen aus ihrer Heimat helfen"
826,"Germany","2017-03-07","Welt Online","Online","Parlamentsentscheidung;
Ungarn stimmt für Festsetzung aller Flüchtlinge"
827,"Spain","2001-02-02","El Pais","Print","ENCIERRO EN MADRID CONTRA LA LEY DE EXTRANJERIA."
828,"UK","2005-04-22","Daily Mirror","Print","VOICE OF THE DAILY MIRROR: THE PARTY OF LOSERS"
829,"Germany","2016-05-23","taz","Print","Merkels Spagat THEMA DES TAGES;
Türkei + Deutschland Die Bundeskanzlerin reist nach Istanbul zum
UN-Nothilfegipfel. Sie will mit Präsident Erdo an über die Flüchtlingspolitik
und muss mit ihm über Menschenrechte reden"
830,"Germany","2012-12-18","Frankfurter Rundschau","Print","Obelix will kein Franzose mehr sein;
Depardieu ärgert sich über Reichensteuer"
831,"UK","2013-07-29","Daily Mirror","Print","IMMIGRATION ARREST AD IS 'A CYNICAL STUNT';
Cooper backs Cable outburst"
832,"UK","2012-03-06","telegraph.co.uk","Online","Syrian refugees flee across Lebanon border from Homs;
It did not take long for Abu Hassan to decide to leave the place he has always
called home, a village outside the devastated Syrian city of Homs."
833,"Germany","2017-05-23","Welt Online","Online","Mordversuch in Asylbewerberheim;
Mann entschuldigt sich"
834,"Germany","2004-10-12","taz","Print","Union spuckt Gift und Galle;
Merkel und Stoiber planen Kampagne gegen EU-Beitritt der Türkei. Heftige Kritik
von allen Seiten, selbst aus der Union"
835,"UK","2016-06-30","The Daily Telegraph","Print","Gove's wife warns him about risk of backing Boris in leaked email;
BRE IT ; Sarah Vine tells husband to secure guarantees on immigration controls
as the price of his support ; Contenders line up as rivals to Boris for party
leadership"
836,"UK","2017-07-11","telegraph.co.uk","Online","EU anti-migrant naval mission in Med is a 'failure', Lords report finds"
837,"Spain","2017-07-06","El Pais","Print","La peor tragedia de la última década"
838,"Germany","2014-05-03","taz","Print","Existenzgründung als Karrierechance;
SELBSTSTÄNDIGKEIT Der Anteil von Existenzgründern ist bei MigrantInnen
mittlerweile genauso hoch wie bei Nicht-MigrantInnen - allerdings sind die
Hürden und die Beweggründe für den Schritt in die Selbstständigkeit
unterschiedlich"
839,"UK","2013-07-30","telegraph.co.uk","Online","Woman jailed for child cruelty overturns deportation bid;
A German woman who was jailed for locking up her three children in squalid
conditions has won a legal challenge against the Home Office's bid to deport
her, The Telegraph can disclose."
840,"UK","2014-04-18","telegraph.co.uk","Online","Has the West fallen prey to crony capitalism?;
There are certainly signs of a wealth gap - like the explosion of buy-to-let
landlords in London - but that will inspire the strivers and innovators"
841,"Spain","2008-04-15","El Pais","Print","La derecha barre en el Norte"
842,"UK","2015-10-29","The Guardian","Print","Nauru justice minister attacks 'arrogant' Australian journalists;
Responding to calls for greater access to the country, David Adeang says the
Australian media approaches reporting on Nauru 'with an air of racial
superiority'"
843,"UK","2015-03-31","telegraph.co.uk","Online","11 'illegal immigrants from Syria' caught on M20 in Kent;
Police say the suspected illegal immigrants were arrested close to the turn-off
for the Eurotunnel at Folkestone"
844,"Germany","2012-06-21","Frankfurter Rundschau","Print","Zeichen setzen;
Bei der Parade der Kulturen demonstrieren Frankfurts Bürger den Schulterschluss
- für ein friedliches Zusammenleben aller Kulturen in der Stadt"
845,"Germany","2003-06-02","Die Welt","Print","Kaplan nach Haftentlassung verschwunden;
Islamismus"
846,"Germany","2017-12-02","taz","Print","Unter Zedern;
Die Flüchtlingszahlen im arabischen Raum sind erschreckend hoch, besonders auch
im Libanon"
847,"UK","2011-03-01","The Guardian","Print","Migrants made to pay for cuts to immigration system budget"
848,"UK","2007-02-26","The Daily Telegraph","Print","Immigration influx adds to surprise house price rise"
849,"Germany","2016-03-10","Frankfurter Rundschau","Print","Ein Schlag ins Kontor"
850,"Spain","2005-09-10","El Pais","Print","El Foro de Dialogo Espana-Italia profundiza en Jaen en los retos de la
construccion de Europa"
851,"Germany","2016-01-18","taz","Print","Agentur: Angriff auf geplantes Flüchtlingsheim;
sachsen-anhalt"
852,"Germany","2015-12-22","Frankfurter Rundschau","Print","Schwedische Bahn stoppt Zugverkehr aus Dänemark"
853,"Germany","2013-04-05","Welt Online","Online","Indonesien;
Muslimischer Mob prügelt acht Buddhisten tot"
854,"UK","2014-08-13","Metro","Print","50 REFUGEES CLAMBER ON TO COPTER MADE TO CARRY 15"
855,"Spain","2009-08-19","El Pais","Print","La Guardia Civil rescata a un inmigrante y detiene a dos personas que le tiraron
al mar"
856,"Germany","2016-08-17","Frankfurter Rundschau","Print","Weiter so ist zu wenig"
857,"Spain","2010-01-11","El Pais","Print","El brote de violencia racial en Italia aviva el debate sobre los inmigrantes"
858,"Germany","2016-01-27","Welt Online","Online","Hamburg;
Flüchtlinge ziehen in Unterkunft im Nobelviertel"
859,"UK","2014-06-03","The Guardian","Print","Cameron in fresh clash with Merkel over 'consensus' on EU's top job: Europe must
be run by those who get it, he says PM seeks to stop Juncker leading 'too bossy'
body"
860,"Germany","2014-04-14","taz","Print","Wie geht es uns, Herr Küppersbusch?;
Die Doktorarbeit ist neuerdings die Taxilizenz der Besserverdienenden und
Katzenkrimis sind gefährlich ICH MEINE, DU DEINE"
861,"UK","2008-02-14","Daily Mirror","Print","IMMIGRANT RIGHTS PLEA"
862,"Germany","2015-11-23","Welt Online","Online","Notfallseelsorge;
An die Hand nehmen, bei der Integration helfen"
863,"Spain","2007-12-23","ABC","Print","Múgica alerta de que los centros de inmigrantes están «superpoblados»"
864,"Spain","2012-08-31","El Pais","Print","Le dejaré la tarjeta a mis amigos para que vayan al médico"
865,"UK","2013-02-28","Daily Mirror","Print","Migrants in crime spree;
ARRESTS"
866,"UK","2013-08-17","Daily Mirror","Print","Ed's just a yolk on immigration"
867,"UK","2012-08-17","telegraph.co.uk","Online","Migrant dies trying to swim across the Channel to England"
868,"Spain","2016-04-15","El Pais","Print","Alemania distribuirá a los refugiados para evitar guetos"
869,"Spain","2011-10-06","ABC","Print","SECTION: INTERNACIONAL"
870,"Spain","2008-06-30","ABC","Print","SECTION: CANARIAS"
871,"Germany","2005-01-12","taz","Print","Zuwanderung in die EU;
EU-Kommission legt Grünbuch zur Einwanderung vor. Ziel: Überalterung der
Gesellschaft entgegenwirken"
872,"UK","2016-04-30","mirror.co.uk","Online","David Cameron could be forced to allow 3,000 refugee children into the UK;
The Immigration Bill - which would have brought 3,000 children to the country -
was voted against last week, but sources say it could still emerge in some form"
873,"Spain","2008-01-20","El Pais","Print","Una falsa policía timó a 90 inmigrantes"
874,"Germany","2016-05-10","Welt Online","Online","Ursache unklar;
Flüchtlingsheim in Gelsenkirchen niedergebrannt"
875,"Spain","2015-01-13","ABC","Print","Merkel, a los islamófobos:«El islam es parte de Alemania»;
Pegida reúne a miles de personas en Dresde con el mensaje del miedo al musulmán"
876,"Germany","2016-08-10","Welt Online","Online","Urteil;
Mord in Flüchtlingsheim - Lebenslang für Somalier"
877,"Spain","2014-08-15","ABC","Print","«Trabajamos muy protegidos»"
878,"Germany","2017-12-03","Welt Online","Online","Wohnkostenhilfe;
Bundesregierung bietet Ausreisepflichtigen für Heimreise Prämien an"
879,"Germany","2015-10-08","Welt Online","Online","Sigmar Gabriel;
Können keine Zugbrücke gegen Flüchtlinge hochziehen"
880,"UK","2017-09-02","mirror.co.uk","Online","Single market, clean break or customs union - which Brexit side do you support
and how much will it cost you?;
We look at the rival political teams battling it out and what their gameplans
mean for Britain"
881,"Germany","2016-08-05","ZEIT Online","Online","Flüchtlinge konkurrieren jetzt gleichberechtigt um Jobs;
Die Bundesregierung hat die Vorrangprüfung ausgesetzt, die bisher Einheimische
bei der Jobsuche bevorzugte. Die Regelung gilt aber nicht überall und für jeden
Flüchtling."
882,"Germany","2017-06-21","Welt Online","Online","Prozess in Ungarn;
Fahrer wussten von der Todesgefahr für die Flüchtlinge"
883,"Germany","2008-12-06","Frankfurter Rundschau","Print","Gefangen in der Drehtür;
Lage von Flüchtlingen in Griechenland prekär"
884,"Spain","2010-02-05","El Pais","Print","Zapatero cita la Biblia en defensa de trabajadores e inmigrantes"
885,"UK","2017-07-26","The Daily Telegraph","Print","It's clear the great Brexit betrayal has begun;
An out-of-touch elite is failing to accept that the issue which won Brexit was
open-door immigration"
886,"Germany","2015-01-18","Welt Online","Online","Sektenbeauftragter;
Christen und Pegida eint die Angst vor dem Islam"
887,"UK","2015-06-26","telegraph.co.uk","Online","EU governments kill off plans for compulsory migrant quotas;
EU leaders agree to resettle 60,000 migrants, but leaders reject Jean Claude
Juncker's plans for a mandatory redistribution"
888,"UK","2006-03-10","The Daily Telegraph","Print","Spanish satire festival treads softly Artists trying not to offend Muslims,
writes David Rennie in Valencia"
889,"Spain","2001-12-22","El Pais","Print","MADRID ADVIERTE DE QUE SU RED DE ACOGIDA NO TIENE PLAZAS PARA 'IRREGULARES' DE
LAS ISLAS"
890,"Germany","2017-04-20","Welt Online","Online","Flüchtlingsbeauftragter verteidigt Doppelpass"
891,"UK","2011-10-10","telegraph.co.uk","Online","David Cameron: 'immigration to be dropped to 1980s levels';
The Prime Minister pledges to bring net immigration down to tens of thousands
while conceding it has had a positive benefit to society."
892,"Germany","2002-08-03","taz","Print","Türöffner für die Wirtschaft;
Oldenburg macht Zuwanderer zu Industrieberatern"
893,"Germany","2017-01-05","Welt Online","Online","Anschlag in Berlin;
Amri war deutschen Behörden unter 14 Identitäten bekannt"
894,"Spain","2009-04-30","ABC","Print","Critican la «segregación» de alumnos inmigrantes en los colegios concertados
CC.OO. denuncia el «desequilibrio» entre la enseñanza pública y la privada con
el alumnado necesitado de apoyo educativo y advierte de la creación de «guettos»"
895,"Germany","2012-06-08","Welt Online","Online","Grenzen;
EU-Länder wollen eigenmächtige Kontrollen"
896,"UK","2016-06-17","mirror.co.uk","Online","Final picture of Jo Cox giving lecture to schoolchildren before being shot dead
24 hours later;
The 41-year-old mother of two was killed in the attack in Birstall, West
Yorkshire, yesterday"
897,"UK","2015-05-20","The Guardian","Print","Rebel Wilson is 35, so what? She's paid to pretend to be someone else;
As an entertainer in an industry built on illusion, it is bizarre to consider
the strange tone of betrayal around reporting on Rebel Wilson's age"
898,"Spain","2016-07-19","ABC","Print","El acuerdo con la Unión para gestionar el flujo de refugiados pende de un hiloEl
acuerdo con la Unión para gestionar el flujo de refugiados pende de un hilo"
899,"Spain","2007-06-09","El Pais","Print","Expertos de todo el mundo debatirán en Madrid sobre los movimientos migratorios"
900,"UK","2001-03-20","Daily Mirror","Print","REFUGEES' LORRY TERROR"
901,"Spain","2007-07-20","El Pais","Print","Los inmigrantes se hunden en el mar como piedras"
902,"Spain","2005-12-22","El Pais","Print","Mas de 600 'sin papeles' llegan a Italia"
903,"Germany","2002-06-04","taz","Print","Keine Konzepte;
Weiterhin heftige Kritik an der Abschaffung der Ausländerbeauftragten Neumann
durch den neuen Hamburger Rechtssenat"
904,"Germany","2016-05-18","taz","Print","New Deal fürs Alpenland Thema des Tages;
Österreich I Exbahnmanager Christian Kern ist seit Dienstag neuer
sozialdemokratischer Bundeskanzler in Wien. In den Schlüsselfragen, die seine
Partei an den Rand der Spaltung brachten, zeigt er sich pragmatisch"
905,"UK","2000-02-12","The Guardian","Print","UN agency failed to meet refugee crisis, says report"
906,"Germany","2013-10-08","ZEIT Online","Online","Südhof fühlt sich noch als Deutscher;
Der in Göttingen geborene Medizin-Nobelpreisträger Thomas Südhof sieht sich der
deutschen Kultur verbunden. Seit 30 Jahren lebt und forscht er allerdings in den
USA."
907,"UK","2003-09-01","The Guardian","Print","Real lives: Nowhere has post-9/11 paranoia struck more deeply than in American
universities. Just ask Ali"
908,"UK","2012-11-29","telegraph.co.uk","Online","Sir James Dyson warns over graduate engineer shortage;
Britain's top companies are failing to recruit enough skilled engineers because
of a dire shortage of highly-trained graduates, Sir James Dyson has warned."
909,"UK","2017-09-07","telegraph.co.uk","Online","'I ran to save the life of my unborn baby' - Rohingya woman gives birth fleeing
Burma, as refugees forced to take dangerous river route"
910,"Germany","2016-10-30","Welt Online","Online","Wirtschaft;
Ernüchterung über Impulse durch Flüchtlinge"
911,"Germany","2005-07-02","Frankfurter Rundschau","Print","Ist rechts, wer Fremdarbeiter sagt?   ;
Brockhaus ordnet Lafontaines Wortwahl der NS-Zeit zu / Drastische Worte im Buch
des Politikers"
912,"Spain","2004-02-07","El Pais","Print","Los colombianos piden ayuda a su Embajada para su regularizacion"
913,"UK","2016-06-21","The Guardian","Print","Jeremy Corbyn to issue pro-EU rallying cry to wavering Labour voters;
Labour leader will tell supporters that voting to leave EU in referendum would
risk economic recovery and workers' rights"
914,"Germany","2010-01-11","Frankfurter Rundschau","Print","Keine Weisheit bei CDU und FDP;
Über die Zustände im Bad Homburger Flüchtlingsheim, FR vom 15. Dezember."
915,"Spain","2004-05-26","El Mundo","Print","Alemania expulsara por la 'via rapida' a los miembros de celulas islamistas."
916,"Spain","2015-06-26","El Pais","Print","78.785 españoles emigraron el año pasado, el doble que en 2010"
917,"UK","2016-08-30","telegraph.co.uk","Online","Calais locals to 'indefinitely' blockade port with 'human chain'"
918,"UK","2001-12-19","The Guardian","Print","Society: Time is the healer: Imagine having your health and housing problems
both addressed by your doctor. Debbie Andalo on a pioneering trade-off that
guarantees 30 minutes with the GP"
919,"Germany","2012-09-26","Frankfurter Rundschau","Print","Unwürdig;"
920,"Spain","2015-09-06","ABC","Print","Alemania y Austria acogen a miles de refugiados después de abrir sus fronteras"
921,"Spain","2007-05-26","El Pais","Print","Potenciar la red de primera acogida para inmigrantes"
922,"Germany","2016-09-02","taz","Print","Agentur: Trump: Null Toleranz;
MAUERBAUER Kandidat will Migranten deportieren"
923,"Germany","2016-01-20","Welt Online","Online","Anthropologie;
Briten haben viel Erbgut der Angelsachsen"
924,"Germany","2017-11-10","Welt Online","Online","Straffällige Asylbewerber;
Polizei überwacht künftig gefährliche Abschiebehäftlinge"
925,"UK","2015-06-07","telegraph.co.uk","Online","Tories must back Cameron's push for EU to return to its roots;
Telegraph View: A new Tory eurosceptic group has been formed. We hope that they
give full support to a Prime Minister trying to get the best possible deal on
Europe"
926,"Germany","2017-08-11","Welt Online","Online","13 tote Flüchtlinge;
Schleuser zu Haftstrafen verurteilt"
927,"Germany","2015-10-17","Spiegel Online","Online","Plötzlich Partner;"
928,"UK","2014-03-31","Daily Mirror","Print","DYING FOR THE WORLD CUP;
1,200 workers killed in Qatar building boom Migrants are forced to live in slave
conditions"
929,"Germany","2002-08-27","taz","Print","Der zweite Abschluss ;
Modellprojekt für Migrantinnen im Gesundheitsbereich: Bereits ausgebildete
Krankenschwestern drücken erneut für 18 Monate die Schulbank - damit sie künftig
auch in Deutschland in ihrem Beruf arbeiten können"
930,"UK","2016-10-14","mirror.co.uk","Online","Lily Allen's pain at the hell of Camp Calais is something we should all be
feeling;
I provoked a similar reaction when I went there to work on a report for The One
Show. Twitter went mad with fury at my sympathy for ­immigrants"
931,"UK","2014-04-12","telegraph.co.uk","Online","3,000 jobless European migrants on benefits;
New figures show extent of benefits tourism by unemployed European migrants as
Iain Duncan Smith tightens the rules to stamp out abuse"
932,"Germany","2008-09-09","Frankfurter Rundschau","Print","Die Welt;
McCain überholt Barack Obama"
933,"Germany","2016-09-26","taz","Print","Agentur: Fremdenfeindliche Gewalt steigt dramatisch;
Deutschland"
934,"Spain","2008-02-12","El Pais","Print","Yo, inmigrante"
935,"Spain","2012-07-10","ABC","Print","Un agente marroquí muere a pedradas en un asalto masivo a la valla de Melilla"
936,"Germany","2006-02-21","Frankfurter Rundschau","Print","Monsieur 220 Volt   ;
Immer noch anschlussfähig: Charles Aznavour, mittlerweile letzter Vertreter des
alten Chanson-Adels des 20. Jahrhunderts, in der Alten Oper"
937,"UK","2014-09-08","The Guardian","Print","G2: Shortcuts: Human rights: Transport: Picking a fight for Burmese fruit
pickers"
938,"Spain","2013-12-02","ABC","Print","«Vivimos con menos de un dólar al día»"
939,"UK","2003-07-24","Daily Mirror","Print","BBC UNDER FIRE AGAIN"
940,"UK","2016-10-28","telegraph.co.uk","Online","Lily Allen says taxi driver refused to drive her and told her to 'find an
immigrant'"
941,"Spain","2008-01-21","ABC","Print","Cañizares: «La emigración requerirá un orden internacional más justo»"
942,"UK","2012-06-15","telegraph.co.uk","Online","Latinos in the US: fact box;
Latinos are seen as the sleeping giant in the 2012 US election because millions
are eligible to vote, but have not yet registered. Here are some facts about
America's Latino population."
943,"Spain","2001-09-29","El Pais","Print","30 PAISES EUROPEOS PROMUEVEN UN MARCO LEGAL CONTRA LAS MAFIAS DE INMIGRANTES;
 LA OPERACION INTENTA EVITAR LA EXPLOTACION ECONOMICA Y SEXUAL"
944,"Spain","2015-10-20","ABC","Print","HASTÍO Y ANGUSTIA"
945,"UK","2015-10-13","telegraph.co.uk","Online","African students and entrepreneurs to be encouraged to migrate to EU;
European leaders will consider proposals to increase legal migration, as part of
response to refugee crisis"
946,"Spain","2014-01-26","El Pais","Print","Trabajador pobre"
947,"Spain","2006-06-26","El Mundo","Print","HALLAN UNA PATERA QUE LLEVABA DOS NOCHES A LA DERIVA."
948,"Spain","2007-02-16","El Pais","Print","Trabajo investiga la situación laboral de las modelos"
949,"Spain","2005-11-18","El Pais","Print","El Gobierno firmara con Rumania un acuerdo de repatriacion de menores"
950,"Spain","2002-06-23","El Pais","Print","UNOS 100 ANTIGLOBALIZACION SE ENCIERRAN EN UNA IGLESIA EN APOYO DE LOS
INMIGRANTES LA PROTESTA COINCIDIO CON LA CELEBRACION DE UNA BODA EN EL SALVADOR"
951,"UK","2016-06-08","mirror.co.uk","Online","World's most wanted people smuggler captured in Africa and extradited to Europe
'is WRONG MAN';
Friends claim the man thought to be international kingpin Mered Medhanie is
actually a refugee who has been the victim of mistaken identity"
952,"Spain","2009-07-19","El Pais","Print","Sólo Cornellà se suma a las aulas para inmigrantes que ya tienen Vic y Reus"
953,"Germany","2016-12-31","Welt Online","Online","Bundesagentur für Arbeit;
50.000 aus dem Westbalkan erhalten deutsche Arbeitserlaubnis"
954,"UK","2011-02-22","Metro","Print","71% of under 24s fear immigration"
955,"Spain","2001-06-06","El Pais","Print","CONDENAS DE 21 MESES PARA LA TRIPULACION QUE LLEVO A CANARIAS 111 AFRICANOS"
956,"UK","2007-10-24","The Guardian","Print","Europe: EU moves to bring in skilled foreign workers"
957,"Germany","2006-10-11","taz","Print","Neue Horizonte in Sicht;
Die weltweit besten Filmemacherinnen stellen fünf Tage lang ihre aktuellen
Arbeiten vor. Beim neuen Internationalen Frauenfilmfestival Dortmund/Köln sind
nicht nur die Preisgelder erhöht worden"
958,"Germany","2016-10-22","Frankfurter Rundschau","Print","Neue Unterkunft"
959,"UK","2011-04-28","The Daily Telegraph","Print","Courts regain power to deport terrorist suspects"
960,"Germany","2016-05-31","taz","Print","Ausweitung der Kampfzone;
Kommentar von Stefan Reinecke über die AfD und den Fall Boateng"
961,"Spain","2004-01-29","El Pais","Print","Aznar se compromete a resolver la situacion de los 40.000 argentinos sin papeles
en Espana"
962,"UK","2005-01-25","The Daily Telegraph","Print","Howard's quotas are not the final word on immigration"
963,"Germany","2015-09-29","Frankfurter Rundschau","Print","131 Kandidaten für den Ausländerbeirat"
964,"Germany","2000-12-07","taz","Print","Lizenz zum Lueckenbuessen"
965,"UK","2015-12-07","mirror.co.uk","Online","Boris Johnson says Britain should join forces with brutal Syrian dictator Bashar
al-Assad to defeat ISIS;
The Mayor of London says Cameron's claim of 70,000 ground troops in Syria may
have been exaggerated"
966,"Spain","2006-10-05","El Pais","Print","Las ONG piden cerrar los centros de internamiento de extranjeros"
967,"Germany","2015-12-19","taz","Print","in aller kürze;
Radio Bremen wird Nordwestradio-"
