"id","country","publication_date","source","source_type","headline","headline_mt","m_fr_eco","m_fr_lab","m_fr_wel","m_fr_sec"
1357,"Hungary","2016-09-29","Magyar Idök","Print","Migráció és bűnözés","Migration and crime",0,0,0,1
1358,"Hungary","2016-06-04","Nepszava","Print","Vihar előtti csendet érez Orbán","Orban noticeable silence before the storm",0,0,0,1
1359,"Germany","2016-01-24","Spiegel Online","Online","Flüchtlingsamt lässt Überstunden anordnen;","Refugee Office orders overtime;",0,1,0,0
1360,"UK","2014-03-18","telegraph.co.uk","Online","A Budget to support the strongest growth in seven years;
Chief executive of specialist recruiter Hays reveals hopes for a Budget that
will support SMEs and boost STEM education","A Budget to support the strongest growth in seven years;
Chief executive of specialist recruiter Hays reveals hopes for a Budget that
will support SMEs and boost STEM education",1,1,0,0
1361,"Sweden","2000-07-07","Dagens Industri","Print","Ledare: Invandrare ger växtkraft","Leaders: Immigrants give growth",1,1,1,0
1362,"Spain","2003-03-01","El Mundo","Print","Denuncian detenciones ilegales de inmigrantes en Espa","They denounce illegal detentions of immigrants in Spain",0,0,0,1
1363,"Sweden","2010-01-11","Svenska Dagbladet","Print","Somaliska flyktingar flest","Somali refugees most",0,0,0,0
1364,"Sweden","2015-09-16","Aftonbladet","Print","Wolfgang Hansson: Nu måste EU bestämma sig","Wolfgang Hansson: Now the EU has to decide",0,0,0,0
1365,"UK","2012-06-21","telegraph.co.uk","Online","Ecuador: dubious human rights record of country considering Julian Assange
asylum;
Home of the Galapagos Islands, where Charles Darwin observed the evolution of
animals and natural selection, Ecuador has been slow to embrace human rights and
free speech.","Ecuador: dubious human rights record of country considering Julian Assange
asylum;
Home of the Galapagos Islands, where Charles Darwin observed the evolution of
animals and natural selection, Ecuador has been slow to embrace human rights and
free speech.",0,0,0,0
1366,"Spain","2005-05-08","El Pais","Print","Educacion escolariza cada ano a 7.000 hijos de inmigrantes","Education educates 7,000 children of immigrants every year",0,0,1,0
1367,"Romania","2016-08-18","Ziarul Financiar","Print","Liderii Europei se vor întâlni să discute pe tema Brexitului. Pe agenda reuniunii mai figurează subiectele despre combaterea terorismului, criza imigranţilor şi relansarea investiţiilor","European leaders will meet to discuss on Brexitului. The meeting agenda also includes topics on combating terrorism, crisis immigrants and recovery in investment",0,0,0,0
1368,"Hungary","2017-11-04","Magyar Idök","Print","Terrorveszélyt hoz ránk Brüsszel terve","Terror brings us Hazard Brussels plan",0,0,0,0
1369,"UK","2016-11-25","telegraph.co.uk","Online","Sir John Major says there is a 'perfectly credible' case for a second referendum","Sir John Major says there is a 'perfectly credible' case for a second referendum",0,0,0,0
1370,"Hungary","2016-12-14","Magyar Hirlap","Print","A munkahelyteremtés és a migráció az jövő évi uniós jogalkotás középpontjában","Job creation and migration of EU legislation next year will focus",0,0,0,0
1371,"Romania","2015-09-23","Romania Libera","Print","Comisia Europeană, ANCHETĂ în 19 țări pentru încălcarea dreptului la azil","European Commission surveyed 19 countries for violating the right to asylum",0,0,0,0
1372,"Germany","2013-11-18","Frankfurter Rundschau","Print","Motorik und Geduld","Motor skills and patience",0,0,0,0
1373,"Germany","2017-01-15","Welt Online","Online","Parteiaustritt;
Erika Steinbach verlässt die CDU und wirft Merkel Rechtsbruch vor","Party outlet;
Erika Steinbach leaves the CDU and accuses Merkel of breaking law",0,0,0,1
1374,"Romania","2016-03-07","Ziarul Financiar","Print","UE vrea să trimită înapoi în Turcia toţi refugiaţii care nu sunt sirieni, afirmă Rutte","EU wants to send back to Turkey all refugees are not Syrians, said Rutte",0,0,0,0
1375,"Romania","2007-10-04","Ziarul Financiar","Print","Imigratia , o binecuvantare pentru Italia, crede ministrul de finante","Immigration , a blessing for Italy, says finance minister",1,1,1,0
1376,"Poland","2007-01-13","Rzeczpospolita","Print","Wielka Brytania podbiera nam budowlańców","United Kingdom are picked us builders",1,1,0,0
1377,"Sweden","2011-08-30","Svenska Dagbladet","Print","Högutbildad mer positiv till mångfald","Highly educated more positive to diversity",0,0,0,0
1378,"Romania","2016-07-27","Ziarul Financiar","Print","Premierul Bavariei avertizează asupra pericolului reprezentat de terorismul islamist în Germania","Bavarian premier warns of the danger of Islamic terrorism in Germany",0,0,0,1
1379,"Hungary","2016-07-26","Magyar Idök","Print","Éhségsztrájk Horgoson","Hunger Strike Horgos",0,0,0,1
1380,"Poland","2007-10-02","Gazeta Wyborcza","Print","Nr 94308. Ocalona w Bydgoszczy","No. 94308. Survivor in Bydgoszcz",0,0,0,1
1381,"Sweden","2016-10-09","Aftonbladet","Print","Bert lägger ner 40 asylboenden","Bert puts down 40 asylum residents",0,1,0,0
1382,"Germany","2017-12-24","Welt Online","Online","Haben alle Aids;
Was Trump über Haitianer und Nigerianer gesagt haben soll","Have all AIDS ;
What Trump said about Haitians and Nigerians",0,0,0,1
1383,"Spain","2007-11-15","El Mundo","Print","El PSOE recorta el Fondo de Inmigración para no superar el techo del gasto
público;
Vota en contra de partidas del Gobierno para compensar aumentos acordados por la
oposición Los otros grupos lo acusan de utilizar artimañas parlamentarias para
aprobar los Presupuestos","The PSOE cuts the Immigration Fund not to exceed the ceiling of expenditure
public;
Vote against government items to offset increases agreed by the
opposition The other groups accuse him of using  parliamentary tricks  to
approve the Budgets",1,0,1,0
1384,"Romania","2017-03-08","Romania Libera","Print","Barometru: Românii sunt cei mai optimiști în privința viitorului Europei","Barometer: Romanians are the most optimistic about the future of Europe",0,0,0,1
1385,"Hungary","2014-03-08","Nepszabadsag","Print","Tovább nem osztódhatnak a népek","Not further divide the nations",0,0,0,1
1386,"Hungary","2015-08-04","Magyar Idök","Print","Az állam állja az elhunyt határsértők temetését","The State bears the deceased funeral of violators",1,0,0,0
1387,"Romania","2016-09-03","Ziarul Financiar","Print","Şapte migranţi din Kosovo, Etiopia şi Eritrea, depistaţi de poliţiştii de frontieră timişeni","Seven migrants from Kosovo, Ethiopia and Eritrea, detected by the Timiş border guards",0,0,0,1
1388,"Romania","2016-07-26","Ziarul Financiar","Print","Erdogan acuză UE de lipsă de sinceritate în privinţa acordului de gestionare a crizei imigranţilor","Erdogan accuses EU of lacking sincerity agreement on crisis management immigrants",1,0,0,0
1389,"Hungary","2017-01-16","Magyar Idök","Print","Szerbiába költözhetett a calais-i migránsdzsungel","Serbia move to the Calais migránsdzsungel",0,0,0,1
1390,"Poland","2011-08-10","Gazeta Wyborcza","Print","Zabawa kluczem do integracji. Półkolonie, jakich nie było","Fun key to integration. Half-circles, which were not",1,0,0,0
1391,"Spain","2002-06-06","El Mundo","Print","Pujol alaba a los inmigrantes de los 60","Pujol praises the immigrants of the 60s",0,0,0,0
1392,"Sweden","2015-11-07","Svenska Dagbladet","Print","Hälsorisker ökar för flyktingarna","Health risks increase for refugees",0,0,0,0
1393,"Poland","2008-09-16","Rzeczpospolita","Print","Próby konsolidacji sił","Attempts to consolidate forces",0,0,0,0
1394,"Sweden","2015-12-08","Svenska Dagbladet","Print","Asylsökande flyttar in i tält","Asylum seekers move into tents",0,0,1,0
1395,"Spain","2015-04-18","ABC","Print","Italia teme la llegada de terroristas entre los inmigrantes;
Los partidos de la derecha acusan a Renzi de debilidad ante la crisis","Italy fears the arrival of terrorists among immigrants;
The parties on the right accuse Renzi of weakness in the face of the crisis",0,0,0,0
1396,"Germany","2016-01-13","taz","Print","in aller kürze;
Integration durch Sprache, Wohnu","in a nutshell;
Integration through language, living",0,1,1,1
1397,"Sweden","2000-01-14","Aftonbladet","Print","Lars Weiss är tillbaka - som Vilhelm Moberg","Lars Weiss is back - like Vilhelm Moberg",0,1,0,0
1398,"UK","2016-07-28","telegraph.co.uk","Online","Terror alert after Syrian refugee lied about nationality to get into UK and
began pilot training","Terror alert after Syrian refugee lied about nationality to get into UK and
began pilot training",0,0,1,1
1399,"Romania","2016-03-20","Ziarul Financiar","Print","MAI: România va contribui în Grecia cu 70 de poliţişti, şase autospeciale şi două nave de patrulare","MAI: Romania will contribute in Greece by 70 policemen, six trucks and two patrol boats",0,0,0,0
1400,"Poland","2010-05-24","Rzeczpospolita","Print","Strzały na Dworcu Stadion","Shots on Stadium Station",0,1,0,1
1401,"Germany","2015-12-24","Welt Online","Online","Flüchtlinge;
Fußballspiel zwischen Syrern und Iranern eskaliert","Refugees;
Football match between Syrians and Iranians escalates",0,0,0,1
1402,"Poland","2004-02-29","Gazeta Wyborcza","Print","W służbie zdrowia za granicą","In health care abroad",0,1,0,0
1403,"Germany","2016-09-26","taz","Print","Agentur: Fremdenfeindliche Gewalt steigt dramatisch;
Deutschland","Agency: xenophobic violence is increasing dramatically;
Germany",0,0,0,0
1404,"UK","2002-02-08","Daily Mirror","Print","BLUNKETT TO WAGE WAR ON ASYLUM WEDDINGS","BLUNKETT TO WAGE WAR ON ASYLUM WEDDINGS",0,0,0,1
1405,"Poland","2015-11-12","Rzeczpospolita","Print","W skrócie","In brief",0,0,0,1
1406,"Spain","2006-06-15","El Pais","Print","La policia libera a dos menores secuestrados hace 20 dias en Almeria","The police releases two minors kidnapped 20 days ago in Almeria",0,0,0,0
1407,"Germany","2014-01-11","taz","Print","In den Gemeinden fehlt Willkommenskultur;
FLÜCHTLINGE Die Flüchtlingsbeauftragte der Nordkirche gibt ihr Amt auf. Ein
Gespräch über eine Arbeit zwischen allen Stühlen","The churches lack welcome culture ;
REFUGEES The Refugee Commissioner of the North Church gives up her post. On
Talk about a job between all the chairs",0,1,0,0
1408,"Poland","2016-09-06","Gazeta Wyborcza","Print","Będzie Unia dwóch prędkości?","Will there be a two-speed union?",0,0,0,1
1409,"Poland","2008-11-02","Gazeta Wyborcza","Print","Co trzeci Islandczyk myśli o emigracji z kraju","Every third Icelander thinks about emigration from the country",1,0,0,0
1410,"Hungary","2009-08-12","Nepszabadsag","Print","Koszovói menekültek az ólombányában","Kosovo refugees lead mine",0,1,1,0
1411,"Spain","2008-11-13","El Pais","Print","Recorrer España de la fresa a la uva","Travel Spain from strawberry to grapes",1,1,0,0
1412,"Romania","2016-11-03","Romania Libera","Print","În 2015, peste 800 de români care stăteau ilegal în străinătate au fost repatriați voluntar","In 2015, more than 800 Romanian standing abroad illegally were voluntarily repatriated",1,0,1,0
1413,"Poland","2007-05-16","Gazeta Wyborcza","Print","Watykan o zjednoczeniu rosyjskiej Cerkwi emigracyjnej z Patriarchatem
Moskiewskim","Vatican about the unification of the Russian émigré Church with Patriarchate
Moscow",0,0,0,0
1414,"Hungary","2016-11-19","Magyar Hirlap","Print","Bakondi György: Egyre valószínűbb az EU-török megállapodás felbontása","György Bakondi: More likely resolution of the EU-Turkey agreement",0,0,0,0
1415,"Poland","2008-08-27","Gazeta Wyborcza","Print","Do pracy sezonowej Polacy wyjeżdżają najczęściej do Niemiec","Poles usually go to Germany for seasonal work",0,1,0,0
1416,"Romania","2015-09-24","Romania Libera","Print","Iohannis: Am primit asigurări că Guvernul lucrează la rezolvarea procedurilor de INFRIGEMENT PE AZIL","Iohannis: I have received assurances that the Government is working on solving the AZIL INFRASTRUCTURE procedures",0,0,0,0
1417,"Hungary","2016-03-22","Nepszabadsag","Print","Dési András: Elrettentés","Desi Andrew Deterrence",0,0,0,0
1418,"UK","2012-08-27","telegraph.co.uk","Online","France's 'scandalous' expulsion of Roma camps resumes;
French police on Monday dismantled a Roma camp near Paris, sweeping more than 70
people out just days after the government promised a less confrontational
approach to the ethnic minority migrants.","France's 'scandalous' expulsion of Roma camps resumes;
French police on Monday dismantled a Roma camp near Paris, sweeping more than 70
people out just days after the government promised a less confrontational
approach to the ethnic minority migrants.",0,1,1,0
1419,"Sweden","2016-03-01","Dagens Nyheter","Print","Faderskap fastställs allt oftare i domstol","Paternity is increasingly determined in court",0,0,0,0
1420,"Romania","2015-09-14","Ziarul Financiar","Print","Miniştrii de Interne din statele UE au ajuns la un acord privind distribuirea a 40.000 de refugiaţi","Interior ministers of the EU have reached agreement on the distribution of 40,000 refugees",0,0,0,0
1421,"Sweden","2014-03-03","Svenska Dagbladet","Print","EU kan bidra med ekonomiskt stöd","The EU can provide financial support",0,0,1,0
1422,"Sweden","2014-09-19","Aftonbladet","Print","Inget annat svenskt parti har anhängare som hotar journalister på det här","No other Swedish party has followers who threaten journalists on this",0,1,0,0
1423,"Sweden","2000-09-23","Aftonbladet","Print","Familjen skulle utvisas - man satte eld på frun","The family should be expelled - the fire was set on fire",0,0,1,1
1424,"Poland","2014-11-08","Gazeta Wyborcza","Print","Patrioto, kochaj obcego","Patriot, love a stranger",0,0,0,0
1425,"UK","2010-03-19","The Daily Telegraph","Print","Channel migrant's about-turn","Channel migrant's about-turn",0,0,0,1
1426,"Spain","2013-07-11","ABC","Print","«La encíclica es una muestra de humildad y continuidad»","«The encyclical is a sign of humility and continuity»",0,0,0,0
1427,"Poland","2006-11-21","Gazeta Wyborcza","Print","Duże inwestycje w Tyskim Browarze Książęcym","Large investments in the Tyskie Brewery",0,0,0,0
1428,"Germany","2004-06-03","Frankfurter Rundschau","Print","Links herum gedreht   ;
Multikulti-Pop aus dem Einwanderungsland Frankreich: Algerierin Souad Massi und
ihre Band zu Gast in Frankfurt","Turned left;
Multicultural pop from the immigration country France: Algerian Souad Massi and
her band is a guest in Frankfurt",0,0,0,0
1429,"Poland","2010-03-25","Gazeta Wyborcza","Print","Arboleda oskarĹźa byĹ‚ego prezesa ZagĹ‚Ä[TM]bia Lubin o rasizm","Arboleda accuses the former president of Zagłębie TM Lubin of racism",0,1,0,0
1430,"Germany","2004-03-15","taz","Print","GESAGT IST GESAGT","HAS BEEN SAID",0,0,0,1
1431,"Germany","2015-04-16","Welt Online","Online","Asylpolitik;
Öney bekommt Zustimmung aus ungewohnter Ecke","Asylum policy;
Öney gets approval from unfamiliar corner",0,0,0,1
1432,"Hungary","2015-01-19","Nepszava","Print","Undorító igazság","disgusting truth",0,0,0,0
1433,"Sweden","2017-08-01","Svenska Dagbladet","Print","Macron smickrade Löfven och hyllade Sverige","Macron flattered Löfven and celebrated Sweden",0,1,0,0
1434,"Germany","2008-04-18","taz","Print","China verschärft Visaregeln;
Wegen der Olympischen Spiele verschärft China ab sofort die Visavorschriften für
Ausländer. Begründet wird dies mit angeblichen terroristischen Bedrohungen und
Sicherheitsproblemen","China tightened visa rules;
As a result of the Olympic Games, China is tightening visa requirements
Foreigners. This is justified by alleged  terrorist threats  and
security problems",0,1,1,1
1435,"Poland","2004-07-04","Gazeta Wyborcza","Print","Przed meczem Marma Rzeszów - TeleNet Gorzów (niedziela, g. 17)","Before the match Marma Rzeszów - TeleNet Gorzów (Sunday, 17th)",0,1,0,0
1436,"Romania","2015-09-18","Evenimentul Zilei","Print","Băsescu, despre soluţiile pe care România le are în criza refugiaţilor : UE nu poate obliga niciun stat membru legat de refugiaţi","Basescu about solutions that Romania has in crisis refugees : EU can not force any Member State over refugees",0,0,0,0
1437,"Romania","2014-11-30","Ziarul Financiar","Print","Trei sferturi dintre elveţieni au respins la referendum limitarea imigraţiei","Three-quarters of Swiss rejected the referendum limiting immigration",0,0,0,0
1438,"Hungary","2017-02-22","Magyar Hirlap","Print","Berlin átszabná az uniós menekültügyet","Berlin reshape the EU asylum",0,0,0,1
1439,"Romania","2016-01-22","Ziarul Financiar","Print","Peste 2.500 de veste de salvare contrafăcute destinate imigranţilor , confiscate în Turcia","Over 2,500 counterfeit jackets for immigrants seized in Turkey",0,0,0,1
1440,"Sweden","2015-10-27","Dagens Nyheter","Print","Anläggningar angrips i flera EU-länder","Installations are attacked in several EU countries",0,0,1,0
1441,"Hungary","2013-02-02","Nepszabadsag","Print","A Vaslady bátor reformer lett - Nagy-Britannia - Új kézikönyvet kaptak a bevándorlók a konzervatív kormánytól","The Iron Lady was courageous reformer - United Kingdom - New manual given to the immigrants of the conservative government",0,1,0,0
1442,"Spain","2010-08-06","ABC","Print","Castilla y León, Murcia y Valencia desmienten problemas con los menores
inmigrantes","Castilla y León, Murcia and Valencia deny problems with minors
immigrants",0,0,0,0
1443,"Spain","2011-03-18","El Mundo","Print","Cáritas detecta en sus centros un aumento de redadas de inmigrantes","Cáritas detects in its centers an increase in immigration raids",0,1,1,0
1444,"Romania","2014-06-02","Evenimentul Zilei","Print","Snowden afirmă că cerut în mod oficial azil în Brazilia","Snowden says that formally requested asylum in Brazil",0,0,0,0
1445,"Romania","2008-01-09","Ziarul Financiar","Print","Italia si Spania au propus expulzari colective ale imigrantilor","Italy and Spain have proposed collective expulsions of migrants",0,0,0,1
1446,"Poland","2016-08-17","Gazeta Wyborcza","Print","Iskrzy na linii Unia Europejska - Turcja","Sparks on the line European Union - Turkey",0,0,0,0
1447,"Romania","2016-04-18","Ziarul Financiar","Print","Noi incidente între imigranţi şi poliţie, la graniţa de nord a Greciei","New incidents between immigrants and police, the northern border of Greece",0,0,0,1
1448,"Poland","2008-01-28","Gazeta Wyborcza","Print","50% pracujących cudzoziemców na Mazowszu to kierownicy, doradcy i eksperci","50% of working foreigners in Mazowsze are managers, advisers and experts",0,1,0,0
1449,"UK","2013-10-11","Metro","Print","Migrant mother gave birth as she drowned","Migrant mother gave birth as she drowned",0,0,0,0
1450,"Poland","2007-08-20","Rzeczpospolita","Print","Firma nie płaci podatku za nierezydenta, który wykonuje zlecenie za granicą","The company does not pay tax for non-resident who executes the order abroad",0,1,0,0
1451,"Spain","2008-05-28","ABC","Print","Continúa la llegada de cayucos con inmigrantes a las costas canarias","The arrival of cayucos with immigrants to the Canary Islands continues",0,0,1,0
1452,"Germany","2017-03-27","Welt Online","Online","Zahl der Asylverfahren steigt drastisch","Number of asylum procedures increases drastically",1,0,0,0
1453,"Poland","2013-10-25","Gazeta Wyborcza","Print","Europa ma już dość kolejnych imigrantów","Europe is tired of more immigrants",0,1,1,1
1454,"Romania","2013-12-31","Ziarul Financiar","Print","Londra se răzgândeşte în privinţa imigranţilor : Românii şi bulgarii aduc cu ei cunoştinţe şi experienţă","London changes his mind about immigrants : Romanians and Bulgarians bring with them knowledge and experience",1,1,0,0
1455,"UK","2016-02-19","mirror.co.uk","Online","Labour facing meltdown with working class voters over mass immigration warns
Michael Dugher;
The MP - sacked by Jeremy Corbyn as Shadow Culture Secretary - launched a
broadside after the number of EU workers in Britain topped 2million","Labour facing meltdown with working class voters over mass immigration warns
Michael Dugher;
The MP - sacked by Jeremy Corbyn as Shadow Culture Secretary - launched a
broadside after the number of EU workers in Britain topped 2million",0,1,0,0
1456,"Sweden","2008-12-04","Dagens Nyheter","Print","Svensk glesbygd lockar nya invandrare","Swedish sparsely populated area attracts new immigrants",0,1,0,0
1457,"Germany","2002-02-27","taz","Print","Türken sind optimistisch;
Studie: 60 Prozent der Türken in Deutschland sind mit ihrem beruflichen
Fortkommen und Status zufrieden. Zukunftsaussichten der Kinder werden als rosig
betrachtet","Turks are optimistic;
Study: 60 percent of Turks in Germany are with their professional
Progress and status satisfied. Future prospects of children are considered rosy
considered",0,1,0,0
1458,"Germany","2015-11-02","Welt Online","Online","Unions-Kompromiss;
Seehofer zufrieden - Das hat jetzt einen Drive","Unions compromise;
Seehofer satisfied -  This has a drive now",0,0,0,0
1459,"Spain","2006-04-12","El Pais","Print","El voto emigrante fue decisivo","The emigrant vote was decisive",0,0,0,0
1460,"Sweden","2002-05-30","Svenska Dagbladet","Print","S-debattör öppnar för invandringsdebatt","S-Debater opens for immigration debate",0,1,0,0
1461,"Poland","2016-07-01","Rzeczpospolita","Print","Unia daje nieco więcej na rozwój gospodarki","Union gives you a little more on the economy",1,0,0,1
1462,"UK","2007-09-26","The Daily Telegraph","Print","Police guard at school in immigrant feud","Police guard at school in immigrant feud",0,1,1,1
1463,"Spain","2015-12-05","El Pais","Print","La UE guardará seis meses los datos de quien tome un avión","The EU will save six months the data of who takes a plane",0,0,0,0
1464,"Hungary","2016-10-15","Magyar Hirlap","Print","Lapértesülés szerint kapcsolatban állt az ISIS-szel Dzsaber al-Bakr","According Lapértesülés was related to the ISIS-related Dzsaber al-Bakr",0,0,0,1
1465,"Hungary","2010-05-17","Nepszabadsag","Print","Határt szabnak a külföldieknek","Set limits on foreigners",0,1,0,1
1466,"Sweden","2001-05-07","Dagens Nyheter","Print","EU just nu: Böter för flygbolag het fråga","EU right now: Fines for airlines have questions",0,0,0,0
1467,"Poland","2016-01-05","Rzeczpospolita","Print","Czwarta kadencja dla Merkel?","The fourth term for Merkel?",0,0,0,1
1468,"Germany","2017-10-20","Welt Online","Online","Missbrauch in Flüchtlingsheim;
knapp vier Jahre Gefängnis","Abuse in refugee home;
almost four years in prison",0,0,0,1
1469,"Sweden","2002-08-26","Dagens Nyheter","Print","Invandrad arbetskraft: Europa har åter blivit en tillfällig","Immigrant labor: Europe has again become a temporary one",1,1,0,1
1470,"Sweden","2014-06-11","Svenska Dagbladet","Print","Löfven i österrikisk skola?","Lövven in Austrian school?",0,1,0,0
1471,"Sweden","2003-06-10","Svenska Dagbladet","Print","Arbetskraftinvandring får godkänt","Labor immigration may be approved",0,1,0,0
1472,"UK","2013-07-09","The Guardian","Print","Wimbledon: How Murray and co banished the ghosts of sporting failure","Wimbledon: How Murray and co banished the ghosts of sporting failure",0,1,0,0
1473,"Spain","2003-11-22","El Pais","Print","Sin recursos en Ceuta","Without resources in Ceuta",1,0,1,0
1474,"Hungary","2016-08-07","Magyar Hirlap","Print","Születtek január 1-jén","Born on January 1",0,1,0,1
1475,"Sweden","2015-06-14","Svenska Dagbladet","Print","Mutar smugglare för att inte ta i land flyktingar","Mutants smugglers not to land refugees",0,0,0,0
1476,"Spain","2002-05-01","El Pais","Print","'EXPEDICION DE CASTIGO' CONTRA LOS REFUGIADOS DEL CANAL","'EXPEDITION OF PUNISHMENT' AGAINST THE REFUGEES OF THE CHANNEL",0,0,0,0
1477,"Poland","2008-05-22","Gazeta Wyborcza","Print","Blatter zmorą Brazylijczyków?","Blatter is the nightmare of Brazilians?",0,1,0,0
1478,"Romania","2015-09-19","Ziarul Financiar","Print","CRIZA REFUGIAŢILOR . România desfăşoară exerciţii la graniţa cu Serbia şi suplimentează trupele MAI în zonă","CRISIS REFUGEES . Romania conducted exercises on the border with Serbia and supplements MIA troops in the area",0,0,0,1
1479,"Spain","2007-02-01","El Pais","Print","REFERÉNDUM Faltan 18 días;
Artículo 62","REFERENDUM 18 days left;
Article 62",1,1,1,0
1480,"UK","2016-06-19","mirror.co.uk","Online","Boris Johnson claims only Brexit can 'spike the guns of extremists' in wake of
Jo Cox's murder;
The top Tory claimed: You can only spike the guns of the extremists and the
people who are genuinely anti-immigrant if you take back control","Boris Johnson claims only Brexit can 'spike the guns of extremists' in wake of
Jo Cox's murder;
The top Tory claimed: You can only spike the guns of the extremists and the
people who are genuinely anti-immigrant if you take back control",0,0,0,1
1481,"Hungary","2017-03-28","Magyar Idök","Print","Partnert keres a GERB","You are looking for a partner to GERB",0,0,0,0
1482,"Spain","2017-02-01","El Pais","Print","El veto migratorio es una locura. Mi caso es solo un ejemplo","The immigration veto is crazy. My case is just an example",0,0,0,0
1483,"UK","2012-05-28","telegraph.co.uk","Online","London 2012 Olympics: IOC member Barbara Kendall openly criticises Heathrow
Airport, calling it a 'nightmare';
Heathrow Airport has been labelled a nightmare by a member of the
International Olympic Committee who was forced to suffer a two-hour delay while
going through immigration on Monday morning.","London 2012 Olympics: IOC member Barbara Kendall openly criticises Heathrow
Airport, calling it a 'nightmare';
Heathrow Airport has been labelled a nightmare by a member of the
International Olympic Committee who was forced to suffer a two-hour delay while
going through immigration on Monday morning.",0,0,0,0
1484,"Romania","2017-06-26","Ziarul Financiar","Print","May reiterează că este favorabilă rămânerii imigranţilor UE în M.Britanie, în anumite condiţii","May reiterates that remains favorable immigrants EU M.Britanie under certain conditions",0,1,1,0
1485,"Spain","2002-06-18","El Mundo","Print","El Gobierno ha dictado 20.202 expulsiones de inmigrantes en 2002","The Government has issued 20,202 expulsions of immigrants in 2002",0,0,0,1
1486,"UK","2016-11-10","The Daily Telegraph","Print","New leader has few obstacles to stop him delivering his pledges","New leader has few obstacles to stop him delivering his pledges",1,0,0,1
1487,"Spain","2016-03-18","El Pais","Print","Qué criterios debe cumplir un país seguro","What criteria must a safe country meet?",0,0,0,0
1488,"Sweden","2006-05-18","Svenska Dagbladet","Print","Ny våg av flyktingar till Spanien","New wave of refugees to Spain",0,1,0,1
1489,"Romania","2016-03-01","Ziarul Financiar","Print","ONU: Peste 131.000 de imigranţi au ajuns în Europa, în 2016, după ce au traversat Marea Mediterană","UN: Over 131,000 immigrants arrived in Europe in 2016, after having crossed the Mediterranean",0,0,0,0
1490,"UK","2012-09-24","telegraph.co.uk","Online","Switzerland tax system set for overhaul;
Wealthy foreigners can still enjoy special low-tax rates in Switzerland but the
amount they pay is set to increase.","Switzerland tax system set for overhaul;
Wealthy foreigners can still enjoy special low-tax rates in Switzerland but the
amount they pay is set to increase.",1,0,0,0
1491,"Germany","2013-11-26","Welt Online","Online","Flüchtlingspolitik;
Farbanschläge auf Häuser von drei SPD-Politikern","Refugee policy;
Color stops on houses of three SPD politicians",0,0,0,0
1492,"Hungary","2017-10-13","Magyar Idök","Print","Soros pártjára álltak Vonáék","Soros's party stood Train",0,0,0,0
1493,"Poland","2004-06-11","Rzeczpospolita","Print","Polska spółka nie może być cudzoziemcem","Polish company may not be a stranger",0,0,0,0
1494,"Sweden","2014-12-15","Dagens Nyheter","Print","Politikerna tvingas möta de ilskna som kallar sig folket","The politicians are forced to meet the angry people who call themselves the people",0,0,0,1
1495,"Germany","2010-05-18","taz","Print","Plakate allein sind nicht genug","Posters alone are not enough",1,1,1,0
1496,"Spain","2003-11-19","El Pais","Print","El PA propone crear un consejo internacional sobre la inmigracion","The PA proposes to create an international council on immigration",0,1,0,0
1497,"Poland","2007-10-07","Gazeta Wyborcza","Print","Imigranci w tirze","Immigrants in tir",0,0,0,1
1498,"Hungary","2016-05-30","Magyar Hirlap","Print","Soros évente egymillió bevándorlót , nyitva tartott határokat akar","Serial annually one million immigrants want open borders held",0,0,0,1
1499,"Sweden","2006-10-18","Svenska Dagbladet","Print","Tobias Billström tänker sitta kvar","Tobias Billström is going to stay",0,0,0,0
1500,"Romania","2016-10-02","Jurnalul National","Print","Gorghiu:Refuzul Ungariei de a sprijini celelalte state UE în cazul refugiaţilor - dovadă de lipsă de solidaritate, extremism şi populism","Gorghiu: Hungarian refusal to support other EU countries where refugees - show a lack of solidarity, extremism and populism",0,0,0,1
1501,"Poland","2017-06-12","Gazeta Wyborcza","Print","Prawa człowieka nie dla czeczeńskiego uchodźcy. Nawet trybunał praw człowieka
nie ma wpływu na Polskę","Human rights not for a Chechen refugee. Even the court of human rights
it does not affect Poland",0,0,0,0
1502,"Poland","2017-10-27","Rzeczpospolita","Print","Oferta dla studenta z zagranicy","Offer for students from abroad",0,0,1,0
1503,"Romania","2004-05-13","Ziarul Financiar","Print","Îl vor ajuta pe Howard rădăcinile transilvane?","Howard will help the Transylvanian roots?",0,1,0,0
1504,"UK","2015-06-16","mirror.co.uk","Online","Refugee who fled Afghanistan for Britain dreams of repaying the country that
saved his life;
Mo, who was 14 when he arrived in the UK after surviving Taliban violence and a
hellish journey across Europe, wants to work for the NHS","Refugee who fled Afghanistan for Britain dreams of repaying the country that
saved his life;
Mo, who was 14 when he arrived in the UK after surviving Taliban violence and a
hellish journey across Europe, wants to work for the NHS",0,1,1,1
1505,"Romania","2017-06-14","Ziarul Financiar","Print","Primarul Romei solicită Guvernului italian să nu mai distribuie imigranţi capitalei italiene","Rome mayor requested the Italian Government not to distribute immigrants the Italian capital",0,0,0,0
1506,"Germany","2004-06-13","Spiegel Online","Online","Kompromiss bis Ende Juni","Compromise until the end of June",1,1,0,1
1507,"Sweden","2005-07-09","Svenska Dagbladet","Print","Vi skulle behöva en usaitisk president","We would need an UAE president",0,0,0,0
